Rk,G,Playoffs,Series,Tm,Opp,G#,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-',Year
1,1,2018-04-14,EC1,MIA,PHI,1,0,20:31,2,3,0.667,0,0,,2,4,0.5,0,1,1,0,0,1,1,1,6,3.5,-15,2018
2,2,2018-04-16,EC1,MIA,PHI,2,0,9:34,0,4,0,0,1,0,0,2,0,3,2,5,0,0,0,0,0,0,-0.9,8,2018
3,3,2018-04-19,EC1,MIA,PHI,3,0,14:30,2,3,0.667,0,0,,1,4,0.25,1,4,5,0,0,0,0,2,5,3.6,1,2018
4,4,2018-04-21,EC1,MIA,PHI,4,0,16:14,1,3,0.333,0,0,,0,2,0,3,2,5,0,0,1,1,3,2,0.7,-6,2018
5,5,2018-04-24,EC1,MIA,PHI,5,0,16:18,2,2,1,0,0,,0,2,0,2,2,4,0,0,0,0,2,4,3.8,-11,2018
6,1,2020-08-18,EC1,MIA,IND,1,1,34:49:00,7,14,0.5,0,0,,3,4,0.75,4,6,10,6,0,3,0,2,17,19.7,23,2020
7,2,2020-08-20,EC1,MIA,IND,2,1,32:13:00,3,7,0.429,0,0,,1,2,0.5,0,5,5,4,2,1,0,4,7,8.3,19,2020
8,3,2020-08-22,EC1,MIA,IND,3,1,33:29:00,7,11,0.636,0,0,,8,9,0.889,2,9,11,5,1,0,6,3,22,18.1,8,2020
9,4,2020-08-24,EC1,MIA,IND,4,1,36:50:00,6,16,0.375,0,0,,2,2,1,6,13,19,6,1,1,6,2,14,12.4,5,2020
10,5,2020-08-31,ECS,MIA,MIL,1,1,37:48:00,5,12,0.417,0,0,,2,2,1,6,11,17,6,2,0,2,3,12,16.1,10,2020
11,6,2020-09-02,ECS,MIA,MIL,2,1,32:51:00,4,8,0.5,0,0,,7,8,0.875,3,6,9,3,1,0,2,6,15,13.2,0,2020
12,7,2020-09-04,ECS,MIA,MIL,3,1,35:47:00,7,8,0.875,0,0,,6,7,0.857,2,14,16,3,0,2,2,4,20,22.3,14,2020
13,8,2020-09-06,ECS,MIA,MIL,4,1,43:50:00,10,13,0.769,0,0,,6,6,1,4,8,12,8,1,0,1,1,26,31.3,-4,2020
14,9,2020-09-08,ECS,MIA,MIL,5,1,30:33:00,4,9,0.444,0,0,,5,6,0.833,1,5,6,2,0,0,5,2,13,5.7,0,2020
15,10,2020-09-15,ECF,MIA,BOS,1,1,42:33:00,5,12,0.417,0,0,,8,11,0.727,1,5,6,9,1,2,3,1,18,17.9,12,2020
16,11,2020-09-17,ECF,MIA,BOS,2,1,35:19:00,10,16,0.625,0,0,,1,2,0.5,3,7,10,4,2,1,2,4,21,19.5,8,2020
17,12,2020-09-19,ECF,MIA,BOS,3,1,37:49:00,10,14,0.714,0,0,,7,9,0.778,4,12,16,1,3,2,3,4,27,27.3,1,2020
18,13,2020-09-23,ECF,MIA,BOS,4,1,40:57:00,7,11,0.636,0,1,0,6,8,0.75,3,9,12,4,2,0,3,3,20,19.7,8,2020
19,14,2020-09-25,ECF,MIA,BOS,5,1,38:12:00,5,11,0.455,0,0,,3,4,0.75,1,7,8,8,1,1,2,5,13,13,-15,2020
20,15,2020-09-27,ECF,MIA,BOS,6,1,39:29:00,11,15,0.733,0,0,,10,11,0.909,1,13,14,5,1,0,2,3,32,31.4,0,2020
21,16,2020-09-30,FIN,MIA,LAL,1,1,21:10,2,8,0.25,0,0,,4,6,0.667,2,2,4,0,0,0,0,2,8,3.6,-12,2020
24,17,2020-10-06,FIN,MIA,LAL,4,1,33:22:00,6,8,0.75,0,0,,3,5,0.6,2,5,7,1,1,0,3,4,15,11,3,2020
25,18,2020-10-09,FIN,MIA,LAL,5,1,37:55:00,5,12,0.417,0,0,,3,4,0.75,1,3,4,4,0,1,3,3,13,7.1,2,2020
26,19,2020-10-11,FIN,MIA,LAL,6,1,42:13:00,10,15,0.667,0,0,,5,9,0.556,1,9,10,5,0,2,2,2,25,22.4,-21,2020
27,1,2021-05-22,EC1,MIA,MIL,1,1,40:36:00,4,15,0.267,0,0,,1,1,1,4,8,12,5,3,0,1,5,9,8.8,5,2021
28,2,2021-05-24,EC1,MIA,MIL,2,1,28:38:00,5,11,0.455,0,0,,6,9,0.667,0,3,3,4,0,0,4,1,16,8.4,-18,2021
29,3,2021-05-27,EC1,MIA,MIL,3,1,31:32:00,7,14,0.5,0,0,,3,3,1,3,5,8,4,1,1,2,2,17,15.3,-12,2021
30,4,2021-05-29,EC1,MIA,MIL,4,1,35:05:00,10,17,0.588,0,0,,0,0,,7,7,14,4,1,1,4,3,20,18.4,-22,2021
31,1,2022-04-17,EC1,MIA,ATL,1,1,27:51:00,1,5,0.2,0,0,,4,4,1,0,6,6,5,1,1,4,2,6,5.1,27,2022
32,2,2022-04-19,EC1,MIA,ATL,2,1,23:36,3,6,0.5,0,0,,3,4,0.75,1,3,4,3,0,1,4,4,9,4.4,-1,2022
33,3,2022-04-22,EC1,MIA,ATL,3,1,34:59:00,5,9,0.556,0,0,,3,3,1,2,9,11,5,3,0,3,2,13,15.5,11,2022
34,4,2022-04-24,EC1,MIA,ATL,4,1,29:44:00,6,11,0.545,0,0,,2,3,0.667,4,4,8,1,0,0,1,4,14,10.4,8,2022
