Rk,G,Playoffs,Series,Tm,Opp,G#,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-',Year
1,1,1997-04-25,WC1,LAL,POR,1,0,0:46,1,1,1,0,0,,0,0,,0,0,0,0,0,0,0,0,2,1.7,2,1997
2,2,1997-04-27,WC1,LAL,POR,2,0,4:50,1,3,0.333,0,1,0,4,4,1,0,0,0,0,0,0,0,1,6,3.9,-4,1997
3,3,1997-04-30,WC1,LAL,POR,3,0,26:51:00,7,13,0.538,2,3,0.667,6,8,0.75,0,4,4,2,1,0,4,5,22,12.5,15,1997
4,4,1997-05-02,WC1,LAL,POR,4,0,5:34,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,-2,1997
5,5,1997-05-04,WCS,LAL,UTA,1,0,14:28,1,7,0.143,1,5,0.2,0,1,0,1,1,2,3,0,1,0,5,3,-0.1,-10,1997
6,6,1997-05-06,WCS,LAL,UTA,2,0,4:28,1,1,1,0,0,,0,0,,0,0,0,1,0,0,1,2,2,0.6,3,1997
7,7,1997-05-08,WCS,LAL,UTA,3,0,19:22,3,7,0.429,0,2,0,13,14,0.929,0,1,1,3,1,1,3,3,19,14.8,10,1997
8,8,1997-05-10,WCS,LAL,UTA,4,0,28:23:00,3,9,0.333,3,6,0.5,0,0,,0,2,2,0,0,0,5,4,9,-2.1,-12,1997
9,9,1997-05-12,WCS,LAL,UTA,5,0,28:35:00,4,14,0.286,0,6,0,3,3,1,0,2,2,2,1,0,1,3,11,3.6,-1,1997
10,1,1998-04-24,WC1,LAL,POR,1,0,27:28:00,4,9,0.444,1,1,1,6,9,0.667,0,1,1,4,1,2,0,5,15,12.6,2,1998
11,2,1998-04-26,WC1,LAL,POR,2,0,24:39:00,2,7,0.286,0,0,,0,0,,0,3,3,4,0,1,1,2,4,2.5,-3,1998
