Rk,G,Playoffs,Series,Tm,Opp,G#,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,Year
1,1,1994-04-28,EC1,ORL,IND,1,1,45:00:00,11,20,0.55,0,0,,2,6,0.333,8,11,19,3,2,5,4,3,24,24.1,1994
2,2,1994-04-30,EC1,ORL,IND,2,1,36:00:00,3,8,0.375,0,0,,9,18,0.5,3,4,7,2,0,4,2,5,15,10.5,1994
3,3,1994-05-02,EC1,ORL,IND,3,1,45:00:00,9,17,0.529,0,0,,5,10,0.5,6,8,14,2,0,0,4,5,23,14.7,1994
4,1,1995-04-28,EC1,ORL,BOS,1,1,27:00:00,6,14,0.429,0,0,,11,14,0.786,3,8,11,1,1,2,0,2,23,21.2,1995
5,2,1995-04-30,EC1,ORL,BOS,2,1,40:00:00,7,13,0.538,0,0,,8,14,0.571,5,4,9,1,1,1,4,5,22,14.4,1995
6,3,1995-05-03,EC1,ORL,BOS,3,1,34:00:00,7,12,0.583,0,0,,6,14,0.429,8,13,21,0,0,2,3,3,20,17.9,1995
7,4,1995-05-05,EC1,ORL,BOS,4,1,41:00:00,9,15,0.6,0,0,,7,13,0.538,4,9,13,2,1,1,1,2,25,22.5,1995
8,5,1995-05-07,ECS,ORL,CHI,1,1,40:00:00,7,11,0.636,0,0,,12,16,0.75,7,5,12,2,0,1,4,4,26,22.4,1995
9,6,1995-05-10,ECS,ORL,CHI,2,1,33:00:00,6,15,0.4,0,0,,13,20,0.65,4,8,12,2,0,1,5,5,25,14.4,1995
10,7,1995-05-12,ECS,ORL,CHI,3,1,42:00:00,10,18,0.556,0,0,,8,10,0.8,3,7,10,3,0,3,3,3,28,22.8,1995
11,8,1995-05-14,ECS,ORL,CHI,4,1,43:00:00,5,10,0.5,0,0,,7,10,0.7,4,6,10,9,0,1,5,4,17,15.8,1995
12,9,1995-05-16,ECS,ORL,CHI,5,1,40:00:00,7,20,0.35,0,0,,9,19,0.474,14,8,22,4,2,5,4,3,23,23.1,1995
13,10,1995-05-18,ECS,ORL,CHI,6,1,40:00:00,11,21,0.524,0,0,,5,8,0.625,6,7,13,4,4,1,4,4,27,23.7,1995
14,11,1995-05-23,ECF,ORL,IND,1,1,37:00:00,11,16,0.688,0,0,,10,12,0.833,5,6,11,2,1,2,2,4,32,29.9,1995
15,12,1995-05-25,ECF,ORL,IND,2,1,35:00:00,15,21,0.714,0,0,,9,15,0.6,4,6,10,2,2,0,4,5,39,29.9,1995
16,13,1995-05-27,ECF,ORL,IND,3,1,30:00:00,8,15,0.533,0,0,,2,4,0.5,3,3,6,4,0,3,4,4,18,12.2,1995
17,14,1995-05-29,ECF,ORL,IND,4,1,30:00:00,8,12,0.667,0,0,,0,8,0,4,6,10,2,1,2,4,6,16,9.6,1995
18,15,1995-05-31,ECF,ORL,IND,5,1,42:00:00,13,21,0.619,0,0,,9,19,0.474,5,8,13,3,2,1,1,5,35,29.2,1995
19,16,1995-06-02,ECF,ORL,IND,6,1,36:00:00,10,15,0.667,0,0,,6,12,0.5,2,4,6,2,2,2,0,3,26,23.3,1995
20,17,1995-06-04,ECF,ORL,IND,7,1,35:00:00,11,15,0.733,0,0,,3,11,0.273,3,8,11,2,0,2,4,4,25,17.4,1995
21,18,1995-06-07,FIN,ORL,HOU,1,1,44:00:00,10,16,0.625,0,0,,6,9,0.667,3,13,16,9,0,3,7,5,26,23,1995
22,19,1995-06-09,FIN,ORL,HOU,2,1,45:00:00,12,22,0.545,0,0,,9,14,0.643,3,9,12,7,0,0,4,5,33,24.1,1995
23,20,1995-06-11,FIN,ORL,HOU,3,1,45:00:00,11,17,0.647,0,0,,6,11,0.545,2,8,10,6,1,3,4,3,28,24.4,1995
24,21,1995-06-14,FIN,ORL,HOU,4,1,46:00:00,11,19,0.579,0,0,,3,8,0.375,3,9,12,3,0,4,6,5,25,15.8,1995
25,1,1996-04-26,EC1,ORL,DET,1,1,36:00:00,9,19,0.474,0,0,,3,10,0.3,4,4,8,7,0,1,2,3,21,14.9,1996
26,2,1996-04-28,EC1,ORL,DET,2,1,36:00:00,13,19,0.684,0,0,,3,6,0.5,3,4,7,6,0,1,5,5,29,20.9,1996
27,3,1996-04-30,EC1,ORL,DET,3,1,32:00:00,4,13,0.308,0,0,,5,9,0.556,1,4,5,3,1,1,6,5,13,1.6,1996
28,4,1996-05-08,ECS,ORL,ATL,1,1,36:00:00,18,28,0.643,0,0,,5,11,0.455,9,4,13,6,0,1,2,2,41,35.8,1996
29,5,1996-05-10,ECS,ORL,ATL,2,1,32:00:00,11,15,0.733,0,0,,6,8,0.75,4,5,9,5,1,1,5,3,28,24.4,1996
30,6,1996-05-12,ECS,ORL,ATL,3,1,37:00:00,10,16,0.625,0,0,,4,13,0.308,6,6,12,4,0,2,3,5,24,18.4,1996
31,7,1996-05-13,ECS,ORL,ATL,4,1,37:00:00,7,17,0.412,0,0,,5,17,0.294,1,7,8,4,1,1,1,3,19,10.2,1996
32,8,1996-05-15,ECS,ORL,ATL,5,1,42:00:00,11,14,0.786,0,0,,5,15,0.333,7,8,15,4,0,1,3,1,27,25,1996
33,9,1996-05-19,ECF,ORL,CHI,1,1,40:00:00,13,21,0.619,0,0,,1,7,0.143,0,6,6,6,2,0,3,2,27,19.3,1996
34,10,1996-05-21,ECF,ORL,CHI,2,1,44:00:00,16,22,0.727,0,0,,4,8,0.5,7,9,16,4,1,1,6,2,36,30.7,1996
35,11,1996-05-25,ECF,ORL,CHI,3,1,45:00:00,8,19,0.421,0,0,,1,9,0.111,6,6,12,3,2,2,5,4,17,8.6,1996
36,12,1996-05-27,ECF,ORL,CHI,4,1,42:00:00,11,13,0.846,0,0,,6,9,0.667,1,8,9,3,1,3,3,5,28,25.4,1996
37,1,1997-04-25,WC1,LAL,POR,1,1,35:06:00,17,27,0.63,0,0,,12,18,0.667,3,8,11,2,1,2,1,3,46,37.6,1997
38,2,1997-04-27,WC1,LAL,POR,2,1,38:21:00,11,21,0.524,0,0,,8,14,0.571,1,5,6,5,2,2,1,2,30,24.6,1997
39,3,1997-04-30,WC1,LAL,POR,3,1,40:01:00,10,21,0.476,0,0,,9,16,0.563,6,6,12,4,0,1,1,4,29,22.4,1997
40,4,1997-05-02,WC1,LAL,POR,4,1,40:47:00,9,19,0.474,0,0,,9,11,0.818,3,5,8,2,0,2,4,4,27,17.3,1997
41,5,1997-05-04,WCS,LAL,UTA,1,1,38:59:00,6,16,0.375,0,0,,5,8,0.625,4,8,12,3,1,1,4,5,17,10,1997
42,6,1997-05-06,WCS,LAL,UTA,2,1,35:02:00,10,25,0.4,0,0,,5,10,0.5,9,3,12,2,0,2,5,4,25,12.9,1997
43,7,1997-05-08,WCS,LAL,UTA,3,1,17:40,5,8,0.625,0,0,,1,4,0.25,3,7,10,2,0,0,2,4,11,8.2,1997
44,8,1997-05-10,WCS,LAL,UTA,4,1,43:06:00,12,19,0.632,0,0,,10,15,0.667,3,8,11,4,1,6,2,5,34,32,1997
45,9,1997-05-12,WCS,LAL,UTA,5,1,36:38:00,9,17,0.529,0,0,,5,9,0.556,6,7,13,5,0,1,2,6,23,19.2,1997
46,1,1998-04-24,WC1,LAL,POR,1,1,40:31:00,13,20,0.65,0,0,,4,10,0.4,2,5,7,3,2,3,5,3,30,21.7,1998
47,2,1998-04-26,WC1,LAL,POR,2,1,36:55:00,7,15,0.467,0,0,,5,11,0.455,5,4,9,2,0,2,3,3,19,12.2,1998
48,3,1998-04-28,WC1,LAL,POR,3,1,42:27:00,16,23,0.696,0,0,,4,12,0.333,5,11,16,4,1,1,4,1,36,30,1998
49,4,1998-04-30,WC1,LAL,POR,4,1,39:58:00,13,17,0.765,0,0,,5,9,0.556,1,14,15,5,1,4,4,3,31,29.7,1998
50,5,1998-05-04,WCS,LAL,SEA,1,1,37:59:00,11,20,0.55,0,0,,5,12,0.417,5,6,11,4,0,0,4,3,27,17.5,1998
51,6,1998-05-06,WCS,LAL,SEA,2,1,35:45:00,10,17,0.588,0,0,,6,6,1,3,7,10,1,1,4,3,2,26,23,1998
52,7,1998-05-08,WCS,LAL,SEA,3,1,33:11:00,10,18,0.556,0,0,,10,20,0.5,6,4,10,4,0,3,1,4,30,25.1,1998
53,8,1998-05-10,WCS,LAL,SEA,4,1,36:31:00,15,20,0.75,0,0,,9,12,0.75,3,5,8,7,0,5,0,1,39,41.4,1998
54,9,1998-05-12,WCS,LAL,SEA,5,1,39:41:00,12,17,0.706,0,0,,7,12,0.583,1,8,9,4,0,8,5,3,31,27.2,1998
55,10,1998-05-16,WCF,LAL,UTA,1,1,34:38:00,6,16,0.375,0,0,,7,16,0.438,5,3,8,0,0,2,7,4,19,3.8,1998
56,11,1998-05-18,WCF,LAL,UTA,2,1,42:00:00,14,21,0.667,0,0,,3,8,0.375,2,5,7,1,1,0,2,4,31,20.9,1998
57,12,1998-05-22,WCF,LAL,UTA,3,1,41:05:00,17,30,0.567,0,0,,5,13,0.385,7,8,15,2,0,1,5,6,39,23.6,1998
58,13,1998-05-24,WCF,LAL,UTA,4,1,38:54:00,14,24,0.583,0,0,,10,18,0.556,3,4,7,1,1,1,0,4,38,27.7,1998
59,1,1999-05-09,WC1,LAL,HOU,1,1,40:49:00,11,23,0.478,0,0,,5,14,0.357,6,5,11,4,2,4,4,4,27,19.4,1999
60,2,1999-05-11,WC1,LAL,HOU,2,1,33:26:00,12,21,0.571,0,0,,4,9,0.444,2,7,9,7,0,5,2,4,28,24.4,1999
61,3,1999-05-13,WC1,LAL,HOU,3,1,42:03:00,9,22,0.409,0,0,,8,16,0.5,5,5,10,2,1,4,1,2,26,19.4,1999
62,4,1999-05-15,WC1,LAL,HOU,4,1,43:06:00,14,22,0.636,0,0,,9,18,0.5,5,6,11,3,0,3,2,2,37,30.3,1999
63,5,1999-05-17,WCS,LAL,SAS,1,1,39:55:00,6,19,0.316,0,0,,9,14,0.643,7,8,15,0,1,1,2,5,21,13.1,1999
64,6,1999-05-19,WCS,LAL,SAS,2,1,34:05:00,7,11,0.636,0,0,,2,10,0.2,4,4,8,2,2,2,4,4,16,11.1,1999
65,7,1999-05-22,WCS,LAL,SAS,3,1,36:53:00,8,14,0.571,0,0,,6,14,0.429,7,8,15,0,0,3,2,3,22,18.4,1999
66,8,1999-05-23,WCS,LAL,SAS,4,1,45:07:00,12,23,0.522,0,0,,12,23,0.522,8,6,14,0,1,1,1,5,36,26.4,1999
67,1,2000-04-23,WC1,LAL,SAC,1,1,45:43:00,21,33,0.636,0,0,,4,5,0.8,7,10,17,1,2,5,2,5,46,41,2000
68,2,2000-04-27,WC1,LAL,SAC,2,1,37:33:00,9,15,0.6,0,0,,5,11,0.455,5,14,19,6,1,3,2,2,23,25.9,2000
69,3,2000-04-30,WC1,LAL,SAC,3,1,41:04:00,8,22,0.364,0,0,,5,14,0.357,6,11,17,3,0,1,1,3,21,13.3,2000
70,4,2000-05-02,WC1,LAL,SAC,4,1,46:06:00,10,22,0.455,0,0,,5,12,0.417,4,12,16,0,0,1,3,3,25,13.7,2000
71,5,2000-05-05,WC1,LAL,SAC,5,1,34:43:00,15,24,0.625,0,0,,2,7,0.286,7,11,18,4,1,3,3,1,32,29.9,2000
72,6,2000-05-07,WCS,LAL,PHO,1,1,39:56:00,15,28,0.536,0,0,,7,10,0.7,7,7,14,1,1,4,2,4,37,30.1,2000
73,7,2000-05-10,WCS,LAL,PHO,2,1,46:55:00,16,28,0.571,0,0,,6,14,0.429,8,12,20,3,1,5,2,2,38,34.6,2000
74,8,2000-05-12,WCS,LAL,PHO,3,1,46:27:00,14,21,0.667,0,0,,9,15,0.6,6,11,17,3,0,0,3,4,37,30.5,2000
75,9,2000-05-14,WCS,LAL,PHO,4,1,33:47:00,10,15,0.667,0,0,,4,12,0.333,3,6,9,3,0,1,3,5,24,16,2000
76,10,2000-05-16,WCS,LAL,PHO,5,1,33:30:00,7,19,0.368,0,0,,1,4,0.25,6,15,21,3,0,3,3,0,15,13.2,2000
77,11,2000-05-20,WCF,LAL,POR,1,1,46:49:00,14,25,0.56,0,0,,13,27,0.481,1,10,11,7,0,5,0,2,41,34.8,2000
78,12,2000-05-22,WCF,LAL,POR,2,1,39:06:00,9,16,0.563,0,0,,5,17,0.294,1,11,12,4,0,0,3,4,23,12.8,2000
79,13,2000-05-26,WCF,LAL,POR,3,1,48:00:00,10,17,0.588,0,0,,6,12,0.5,5,7,12,3,1,3,3,2,26,22.7,2000
80,14,2000-05-28,WCF,LAL,POR,4,1,45:08:00,8,17,0.471,0,0,,9,9,1,4,7,11,3,0,2,1,3,25,22.5,2000
81,15,2000-05-30,WCF,LAL,POR,5,1,46:22:00,12,20,0.6,0,0,,7,12,0.583,5,16,21,3,0,2,5,1,31,26.2,2000
82,16,2000-06-02,WCF,LAL,POR,6,1,48:00:00,7,17,0.412,0,0,,3,10,0.3,7,4,11,5,0,0,3,2,17,10.9,2000
83,17,2000-06-04,WCF,LAL,POR,7,1,46:56:00,5,9,0.556,0,0,,8,12,0.667,3,6,9,5,0,1,4,4,18,14.6,2000
84,18,2000-06-07,FIN,LAL,IND,1,1,43:55:00,21,31,0.677,0,0,,1,6,0.167,6,13,19,4,0,3,2,2,43,37.9,2000
85,19,2000-06-09,FIN,LAL,IND,2,1,45:28:00,11,18,0.611,0,0,,18,39,0.462,5,19,24,4,0,3,2,5,40,33.5,2000
86,20,2000-06-11,FIN,LAL,IND,3,1,47:56:00,15,24,0.625,0,0,,3,13,0.231,4,9,13,1,2,2,3,3,33,23.6,2000
87,21,2000-06-14,FIN,LAL,IND,4,1,47:22:00,13,25,0.52,0,0,,10,17,0.588,7,14,21,1,2,2,3,6,36,28.7,2000
88,22,2000-06-16,FIN,LAL,IND,5,1,41:58:00,17,27,0.63,0,0,,1,6,0.167,7,4,11,3,2,2,3,2,35,28.7,2000
89,23,2000-06-19,FIN,LAL,IND,6,1,47:29:00,19,32,0.594,0,0,,3,12,0.25,5,7,12,1,0,4,0,2,41,30.9,2000
90,1,2001-04-22,WC1,LAL,POR,1,1,43:48:00,7,21,0.333,0,0,,10,15,0.667,8,12,20,1,0,1,3,3,24,16.5,2001
91,2,2001-04-26,WC1,LAL,POR,2,1,43:18:00,14,24,0.583,0,0,,4,9,0.444,6,6,12,5,0,1,2,2,32,26.2,2001
92,3,2001-04-29,WC1,LAL,POR,3,1,44:15:00,9,17,0.529,0,0,,7,10,0.7,4,11,15,2,0,1,3,2,25,19.9,2001
93,4,2001-05-06,WCS,LAL,SAC,1,1,43:47:00,17,32,0.531,0,0,,10,19,0.526,11,10,21,4,0,7,2,3,44,40,2001
94,5,2001-05-08,WCS,LAL,SAC,2,1,46:50:00,18,26,0.692,0,0,,7,13,0.538,7,13,20,2,1,3,5,2,43,37.1,2001
95,6,2001-05-11,WCS,LAL,SAC,3,1,35:00:00,8,13,0.615,0,0,,5,14,0.357,5,13,18,1,1,1,3,5,21,16.3,2001
96,7,2001-05-13,WCS,LAL,SAC,4,1,37:47:00,9,16,0.563,0,0,,7,13,0.538,3,7,10,2,0,2,5,6,25,14.6,2001
97,8,2001-05-19,WCF,LAL,SAS,1,1,44:56:00,11,22,0.5,0,0,,6,8,0.75,4,7,11,2,2,2,4,2,28,21.1,2001
98,9,2001-05-21,WCF,LAL,SAS,2,1,45:15:00,8,21,0.381,0,0,,3,6,0.5,4,10,14,4,0,1,4,2,19,10.8,2001
99,10,2001-05-25,WCF,LAL,SAS,3,1,35:08:00,16,23,0.696,0,0,,3,9,0.333,6,11,17,3,0,0,4,3,35,27.3,2001
100,11,2001-05-27,WCF,LAL,SAS,4,1,30:48:00,11,19,0.579,0,0,,4,8,0.5,2,8,10,1,1,2,2,5,26,18.4,2001
101,12,2001-06-06,FIN,LAL,PHI,1,1,51:45:00,17,28,0.607,0,0,,10,22,0.455,6,14,20,5,1,0,4,3,44,34.1,2001
102,13,2001-06-08,FIN,LAL,PHI,2,1,45:16:00,12,19,0.632,0,0,,4,10,0.4,8,12,20,9,1,8,5,5,28,32.2,2001
103,14,2001-06-10,FIN,LAL,PHI,3,1,40:37:00,11,20,0.55,0,0,,8,9,0.889,3,9,12,3,0,4,3,6,30,24.3,2001
104,15,2001-06-13,FIN,LAL,PHI,4,1,42:24:00,13,25,0.52,0,0,,8,16,0.5,8,6,14,5,0,0,3,4,34,24.8,2001
105,16,2001-06-15,FIN,LAL,PHI,5,1,45:04:00,10,18,0.556,0,0,,9,19,0.474,6,7,13,2,0,5,5,2,29,21.8,2001
106,1,2002-04-21,WC1,LAL,POR,1,1,42:50:00,10,17,0.588,0,0,,5,10,0.5,2,7,9,3,1,2,4,3,25,17.9,2002
107,2,2002-04-25,WC1,LAL,POR,2,1,39:21:00,12,20,0.6,0,0,,7,9,0.778,4,10,14,2,1,2,2,2,31,27.8,2002
108,3,2002-04-28,WC1,LAL,POR,3,1,45:28:00,5,11,0.455,0,0,,11,16,0.688,2,9,11,7,0,1,2,4,21,19.4,2002
109,4,2002-05-05,WCS,LAL,SAS,1,1,35:17:00,9,22,0.409,0,0,,5,7,0.714,6,11,17,1,1,4,3,2,23,18.6,2002
110,5,2002-05-07,WCS,LAL,SAS,2,1,40:23:00,7,16,0.438,0,0,,5,10,0.5,1,6,7,5,2,2,3,5,19,13,2002
111,6,2002-05-10,WCS,LAL,SAS,3,1,39:56:00,10,20,0.5,0,0,,2,4,0.5,4,11,15,3,0,0,3,3,22,15.2,2002
112,7,2002-05-12,WCS,LAL,SAS,4,1,39:53:00,9,18,0.5,0,0,,4,6,0.667,3,8,11,5,0,3,2,5,22,18.3,2002
113,8,2002-05-14,WCS,LAL,SAS,5,1,40:02:00,7,18,0.389,0,0,,7,9,0.778,1,10,11,2,0,6,4,3,21,14.5,2002
114,9,2002-05-18,WCF,LAL,SAC,1,1,42:03:00,11,21,0.524,0,0,,4,6,0.667,3,6,9,0,2,4,4,2,26,18.8,2002
115,10,2002-05-20,WCF,LAL,SAC,2,1,37:05:00,15,27,0.556,0,0,,5,11,0.455,6,6,12,1,1,1,4,4,35,22.5,2002
116,11,2002-05-24,WCF,LAL,SAC,3,1,40:15:00,9,20,0.45,0,0,,2,6,0.333,8,11,19,4,0,1,5,5,20,13.4,2002
117,12,2002-05-26,WCF,LAL,SAC,4,1,41:29:00,9,22,0.409,0,0,,9,13,0.692,6,12,18,3,0,3,2,4,27,22,2002
118,13,2002-05-28,WCF,LAL,SAC,5,1,31:53:00,14,18,0.778,0,0,,0,1,0,3,4,7,0,0,2,1,6,28,21.9,2002
119,14,2002-05-31,WCF,LAL,SAC,6,1,43:38:00,14,25,0.56,0,0,,13,17,0.765,2,15,17,1,0,2,6,4,41,27.9,2002
120,15,2002-06-02,WCF,LAL,SAC,7,1,50:22:00,12,25,0.48,0,0,,11,15,0.733,3,10,13,2,0,4,3,3,35,25.8,2002
121,16,2002-06-05,FIN,LAL,NJN,1,1,40:12:00,12,22,0.545,0,0,,12,21,0.571,2,14,16,1,1,4,5,2,36,26.1,2002
122,17,2002-06-07,FIN,LAL,NJN,2,1,40:48:00,14,23,0.609,0,0,,12,14,0.857,3,9,12,8,0,1,4,2,40,35,2002
123,18,2002-06-09,FIN,LAL,NJN,3,1,41:47:00,12,19,0.632,0,0,,11,17,0.647,5,6,11,2,0,4,2,1,35,31.2,2002
124,19,2002-06-12,FIN,LAL,NJN,4,1,43:24:00,12,20,0.6,0,0,,10,16,0.625,3,7,10,4,1,2,3,2,34,28,2002
